page,Economy,Human Rights,Peace,Environment,Land Reform,Health,Education,Security
0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0
3,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,1,2,2,0,3,1,1,0
7,0,3,1,1,7,0,5,1
8,1,4,1,2,2,0,0,1
9,0,0,0,0,0,0,0,0
10,0,10,2,0,4,1,1,0
11,0,1,1,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,10,4,0,3,0,0,2
14,0,5,1,0,0,2,2,0
15,2,5,4,0,9,0,1,0
16,0,7,2,0,0,0,0,0
17,1,6,2,0,2,0,0,1
18,0,0,0,0,0,1,0,0
19,1,2,0,0,1,2,1,2
20,1,2,0,0,0,0,1,1
21,1,4,1,0,0,1,0,1
22,2,7,1,1,4,2,1,4
23,2,4,0,0,2,5,6,4
24,2,11,1,0,2,3,1,1
25,0,10,0,0,0,0,1,4
26,0,0,0,0,0,0,0,0
27,1,16,0,0,0,3,6,1
28,1,18,2,2,2,1,1,1
29,0,26,1,0,3,1,1,0
30,0,9,0,0,0,0,2,2
31,0,10,2,0,0,0,3,1
32,0,2,2,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,1,11,0,0,1,0,0,1
35,0,16,1,0,3,0,0,0
36,0,4,1,0,11,0,1,0
37,0,11,1,0,1,0,0,0
38,0,3,3,0,0,0,0,0
39,0,0,1,0,0,0,0,0
40,0,4,4,0,0,4,0,0
41,0,4,7,0,0,0,2,2
42,0,4,1,0,0,0,0,2
43,1,2,4,1,4,1,0,1
44,2,2,1,0,3,0,1,6
45,2,3,0,0,1,1,1,4
46,0,5,1,1,0,1,0,2
47,0,14,0,1,2,1,0,2
48,0,8,0,0,1,0,2,0
49,0,0,0,0,0,0,0,0
50,0,10,1,1,1,0,0,2
51,1,10,0,0,3,0,0,2
52,3,7,2,0,3,0,0,3
53,3,1,0,0,0,0,5,0
54,0,0,1,0,0,2,2,3
55,0,0,0,0,0,0,0,0
56,2,3,1,0,1,0,0,1
57,0,2,1,0,0,1,0,1
58,0,2,0,0,0,2,1,3
59,0,8,0,1,1,3,4,0
60,1,0,2,0,0,1,0,2
61,0,3,0,0,0,1,0,0
62,0,1,0,0,1,0,0,0
63,1,3,0,1,2,0,0,0
64,1,3,1,1,4,0,0,0
65,0,7,1,1,10,2,0,1
66,3,7,0,2,5,2,1,0
67,2,4,0,1,9,0,3,1
68,5,5,2,0,8,1,0,0
69,5,2,1,0,4,0,0,1
70,1,0,1,0,2,0,0,1
71,1,0,0,0,0,0,1,0
72,4,0,0,0,3,1,16,3
73,0,1,1,1,8,1,8,1
74,0,3,2,4,5,0,1,3
75,0,1,0,0,0,1,1,0
